userID,group,method,verified
mpr_2fETwmSIe1oZqLWgcyDkOiPQy8m,B,Whatsapp,1
mpr_2fEV2FNMgsxXV8ig2K0Xlo3nqyi,B,Sms,1
mpr_2fEWR9rrIXhyW8UXKHpaVy6j5H1,A,Sms,1
mpr_2fEXsUez4LkMuCZUbdyqrdskxPe,A,Sms,1
mpr_2fEXr0676wpqREMkbtClYc6hSVQ,B,Sms,1
mpr_2fEZ2l7CvLNVwfiY3b2CxHno2P1,C,Whatsapp,1
mpr_2fEaQaHxmVNlY6KPJl6tPhQkIok,B,Sms,1
mpr_2fEaDFRUXUUFvZ4IV7S1Zgc0PeQ,C,Whatsapp,1
mpr_2fEby6zmbWXArFvK3uYfqoiczE5,B,Sms,1
mpr_2fEcG6RV9jDz1WaWcfoaLQR3lWZ,C,Whatsapp,1
mpr_2fEdbgwqYgr0GURAqfJLdbOVXXb,C,Whatsapp,1
mpr_2fEeiW9pWSPs87LgADU0yhBkYgD,A,Sms,1
mpr_2fEgOF92EoUK3Gm8klOJPoMqWBb,A,Sms,1
mpr_2fEgS7n4HVoNQKnPrphlwlf2dZK,A,Sms,1
mpr_2fEgyEmx0tQ2Xud8CXRR2lkoeFk,B,Sms,1
mpr_2fEiVqGNxmqIZMavamkBSYflfO7,B,Sms,1
mpr_2fEjvxvV50ByRtam1cPxtuOYJvF,A,Sms,1
mpr_2fEn8ZzO0oQz5gt6zdFNuZCCmRo,C,Sms,1
mpr_2fEpAepxi28D4fhJICmMyMCqM1V,B,Sms,1
mpr_2fEpDsh2Ennj4l6BMWCwxWgVcz9,A,Sms,1
mpr_2fEpED2BhORRuaGVx7ISWQs0DjT,C,Whatsapp,0
mpr_2fEq1NAyK4KeK6nxgzICtiKa3AU,B,Sms,1
mpr_2fEqBfyXrLZudq6L5tHf8fLmxhg,A,Sms,1
mpr_2fEqkop32ugdB401wRiZe1Qv53f,A,Sms,1
mpr_2fEql4gUve8ABhlE4mddeCMSYCV,C,Whatsapp,1
mpr_2fEroNC4IoygAemPqXrjFadX0r7,C,Whatsapp,0
mpr_2fEqbbYjxzh80dadTyeitJjd5oz,C,Whatsapp,1
mpr_2fEsZgYL79xj9hwwqYRXt8LX2yt,B,Sms,1
mpr_2fEt0ehj3flAr0fmlBYwfnymYUE,B,Sms,0
mpr_2fEs3jZK4O7VdciNa5GnWsx1eOl,A,Sms,1
mpr_2fEsVdft3XQyGJ3Xg6yKVotOmO1,C,Whatsapp,1
mpr_2fEuAAOuwDjUg88izF9l3LdPJzW,B,Sms,1
mpr_2fEViXvwabof0hvgJM4HJ1BCu6Z,B,Whatsapp,1
mpr_2fEvJpEXUey4nUKuddL00wUWREi,B,Sms,1
mpr_2fEvDpsPRBVMuMGsWnxJOtiDAym,C,Whatsapp,0
mpr_2fEwqgN0ZO5OhA1OocSBGW0PK3B,A,Sms,1
